# ZAP rules for the nightly full scan against k3d, through Traefik (#1421). Read by dast.yml through `-c`.
#
# One line per rule: id, level, name. FAIL turns the run red. WARN is for the reader of the report.
# IGNORE silences the rule, and every IGNORE carries the date and the reason on the line above it,
# like `.trivyignore` — one without is a review finding. A `#` line is a comment to ZAP too.
#
# FAIL is what the chart guarantees or what no site should ever show: the headers
# `security-headers-middleware.yaml` sets on every response, no CSP missing, no server banner, no
# stack trace, no injection. A rule was promoted to FAIL only after it passed once, on 2026-09-14.
# A WARN with a note names the issue that will promote it.
#
# The ids and names come from the pinned image's `-g` output. A new rule in a newer image arrives
# at WARN by default (`-i` is not set), and the rule-count floor in scan-coverage-baseline.txt is
# what says the set moved.
0	FAIL	(Directory Browsing - Active/release)
10003	FAIL	(Vulnerable JS Library (Powered by Retire.js) - Passive/release)
10009	WARN	(In Page Banner Information Leak - Passive/release)
10010	WARN	(Cookie No HttpOnly Flag - Passive/release)
10011	WARN	(Cookie Without Secure Flag - Passive/release)
10015	WARN	(Re-examine Cache-control Directives - Passive/release)
10017	FAIL	(Cross-Domain JavaScript Source File Inclusion - Passive/release)
10019	WARN	(Content-Type Header Missing - Passive/release)
10020	FAIL	(Anti-clickjacking Header - Passive/release)
10021	FAIL	(X-Content-Type-Options Header Missing - Passive/release)
10023	FAIL	(Information Disclosure - Debug Error Messages - Passive/release)
10024	WARN	(Information Disclosure - Sensitive Information in URL - Passive/release)
10025	WARN	(Information Disclosure - Sensitive Information in HTTP Referrer Header - Passive/release)
10026	WARN	(HTTP Parameter Override - Passive/beta)
10027	WARN	(Information Disclosure - Suspicious Comments - Passive/release)
10028	WARN	(Off-site Redirect - Passive/release)
10029	WARN	(Cookie Poisoning - Passive/release)
10030	WARN	(User Controllable Charset - Passive/release)
10031	WARN	(User Controllable HTML Element Attribute (Potential XSS) - Passive/release)
10032	WARN	(Viewstate - Passive/release)
10033	FAIL	(Directory Browsing - Passive/release)
10034	WARN	(Heartbleed OpenSSL Vulnerability (Indicative) - Passive/release)
10035	WARN	(Strict-Transport-Security Header - Passive/release)
10036	FAIL	(HTTP Server Response Header - Passive/release)
10037	FAIL	(Server Leaks Information via "X-Powered-By" HTTP Response Header Field(s) - Passive/release)
10038	FAIL	(Content Security Policy (CSP) Header Not Set - Passive/release)
10039	FAIL	(X-Backend-Server Header Information Leak - Passive/release)
10040	WARN	(Secure Pages Include Mixed Content - Passive/release)
10041	WARN	(HTTP to HTTPS Insecure Transition in Form Post - Passive/release)
10042	WARN	(HTTPS to HTTP Insecure Transition in Form Post - Passive/release)
10043	WARN	(User Controllable JavaScript Event (XSS) - Passive/release)
10044	WARN	(Big Redirect Detected (Potential Sensitive Information Leak) - Passive/release)
10045	FAIL	(Source Code Disclosure - /WEB-INF Folder - Active/release)
10047	WARN	(HTTPS Content Available via HTTP - Active/release)
10048	FAIL	(Remote Code Execution - Shell Shock - Active/release)
10049	WARN	(Content Cacheability - Passive/beta)
10050	WARN	(Retrieved from Cache - Passive/release)
10051	WARN	(Relative Path Confusion - Active/beta)
10052	FAIL	(X-ChromeLogger-Data (XCOLD) Header Information Leak - Passive/release)
10054	WARN	(Cookie without SameSite Attribute - Passive/release)
# WARN on k3d only: image serving is off there, so the chart composes `img-src 'self' https:` and the rule reads `https:` as a wildcard. Production serves its own images and passes.
10055	WARN	(CSP - Passive/release)
10056	FAIL	(X-Debug-Token Information Leak - Passive/release)
10057	WARN	(Username Hash Found - Passive/release)
10058	WARN	(GET for POST - Active/release)
10061	FAIL	(X-AspNet-Version Response Header - Passive/release)
# 2026-09-15 — a false positive: the rule's Luhn check matched twelve digits inside an image content hash in `/api/images/<sha256>/…`. The site stores no card numbers and no personal data (ADR-019, the privacy notice).
10062	IGNORE	(PII Disclosure - Passive/release)
10063	FAIL	(Permissions Policy Header Not Set - Passive/beta)
# 2026-09-14 — the frontend is an SPA and nginx answers every unknown path with index.html, so `/events - Copy/<slug>` is 200 by design. There is no file behind it to disclose.
10095	IGNORE	(Backup File Disclosure - Active/beta)
10096	WARN	(Timestamp Disclosure - Passive/release)
10097	WARN	(Hash Disclosure - Passive/release)
10098	FAIL	(Cross-Domain Misconfiguration - Passive/release)
10099	FAIL	(Source Code Disclosure - Passive/beta)
10104	WARN	(User Agent Fuzzer - Active/release)
10105	WARN	(Weak Authentication Method - Passive/release)
10106	WARN	(HTTP Only Site - Active/release)
10107	WARN	(Httpoxy - Proxy Header Misuse - Active/beta)
10108	WARN	(Reverse Tabnabbing - Passive/release)
10109	WARN	(Modern Web Application - Passive/release)
10110	WARN	(Dangerous JS Functions - Passive/beta)
10111	WARN	(Authentication Request Identified - Passive/beta)
10112	WARN	(Session Management Response Identified - Passive/beta)
10113	WARN	(Verification Request Identified - Passive/beta)
10115	FAIL	(Script Served From Malicious Domain (polyfill) - Passive/release)
10116	WARN	(ZAP is Out of Date - Passive/release)
10202	WARN	(Absence of Anti-CSRF Tokens - Passive/release)
2	WARN	(Private IP Disclosure - Passive/release)
20012	WARN	(Anti-CSRF Tokens Check - Active/beta)
20014	WARN	(HTTP Parameter Pollution - Active/beta)
20015	WARN	(Heartbleed OpenSSL Vulnerability - Active/release)
20016	WARN	(Cross-Domain Misconfiguration - Active/beta)
20017	FAIL	(Source Code Disclosure - CVE-2012-1823 - Active/release)
20018	FAIL	(Remote Code Execution - CVE-2012-1823 - Active/release)
20019	WARN	(External Redirect - Active/release)
3	WARN	(Session ID in URL Rewrite - Passive/release)
30001	FAIL	(Buffer Overflow - Active/release)
30002	FAIL	(Format String Error - Active/release)
30003	WARN	(Integer Overflow Error - Active/beta)
40003	FAIL	(CRLF Injection - Active/release)
40008	WARN	(Parameter Tampering - Active/release)
40009	FAIL	(Server Side Include - Active/release)
40012	FAIL	(Cross Site Scripting (Reflected) - Active/release)
40013	WARN	(Session Fixation - Active/beta)
40014	FAIL	(Cross Site Scripting (Persistent) - Active/release)
40016	FAIL	(Cross Site Scripting (Persistent) - Prime - Active/release)
40017	FAIL	(Cross Site Scripting (Persistent) - Spider - Active/release)
40018	FAIL	(SQL Injection - Active/release)
40019	FAIL	(SQL Injection - MySQL (Time Based) - Active/release)
40020	FAIL	(SQL Injection - Hypersonic SQL (Time Based) - Active/release)
40021	FAIL	(SQL Injection - Oracle (Time Based) - Active/release)
40022	FAIL	(SQL Injection - PostgreSQL (Time Based) - Active/release)
40023	WARN	(Possible Username Enumeration - Active/beta)
40025	WARN	(Proxy Disclosure - Active/beta)
40026	FAIL	(Cross Site Scripting (DOM Based) - Active/release)
40027	FAIL	(SQL Injection - MsSQL (Time Based) - Active/release)
40028	FAIL	(ELMAH Information Leak - Active/release)
40029	FAIL	(Trace.axd Information Leak - Active/release)
40031	WARN	(Out of Band XSS - Active/beta)
40032	WARN	(.htaccess Information Leak - Active/release)
40033	WARN	(NoSQL Injection - MongoDB - Active/beta)
40034	FAIL	(.env Information Leak - Active/release)
40035	WARN	(Hidden File Finder - Active/release)
40038	WARN	(Bypassing 403 - Active/beta)
40040	WARN	(CORS Header - Active/beta)
40042	FAIL	(Spring Actuator Information Leak - Active/release)
40043	FAIL	(Log4Shell - Active/release)
40044	FAIL	(Exponential Entity Expansion (Billion Laughs Attack) - Active/release)
40045	FAIL	(Spring4Shell - Active/release)
40046	WARN	(Server Side Request Forgery - Active/beta)
40047	WARN	(Text4shell (CVE-2022-42889) - Active/beta)
40048	FAIL	(Remote Code Execution (React2Shell) - Active/release)
41	WARN	(Source Code Disclosure - Git - Active/beta)
42	WARN	(Source Code Disclosure - SVN - Active/beta)
43	WARN	(Source Code Disclosure - File Inclusion - Active/beta)
50000	WARN	(Script Active Scan Rules - Active/release)
50001	WARN	(Script Passive Scan Rules - Passive/release)
6	FAIL	(Path Traversal - Active/release)
7	FAIL	(Remote File Inclusion - Active/release)
